schedule_id,source_id,importing_state,exporting_scope,schedule_status,publication_date,effective_date,expiry_date,hs_version,category_system,notes,created_at,updated_at
efcbc50f-7458-40cb-9c8e-91afd1ff7af4,e599ecd1-9162-4875-b6a6-1e2cfec2c024,CMR,CIV,official,,2021-01-01,,HS2017,scheme_3,Extracted from UNCTAD AfCFTA e-Tariff API on 2026-03-22T17:51:47.178821+00:00. Corridor: CIV → CMR.,2026-03-22T17:51:47.178821+00:00,2026-03-22T17:51:47.178821+00:00
9332d7cc-d2d0-42b7-911d-5e9d95106149,e599ecd1-9162-4875-b6a6-1e2cfec2c024,CMR,GHA,official,,2021-01-01,,HS2017,scheme_3,Extracted from UNCTAD AfCFTA e-Tariff API on 2026-03-22T17:51:50.566546+00:00. Corridor: GHA → CMR.,2026-03-22T17:51:50.566546+00:00,2026-03-22T17:51:50.566546+00:00
d89fce30-8682-4fe4-8301-7ddc8637a2c4,e599ecd1-9162-4875-b6a6-1e2cfec2c024,CMR,NGA,official,,2021-01-01,,HS2017,scheme_3,Extracted from UNCTAD AfCFTA e-Tariff API on 2026-03-22T17:51:53.909659+00:00. Corridor: NGA → CMR.,2026-03-22T17:51:53.909659+00:00,2026-03-22T17:51:53.909659+00:00
b4d1eb3b-8823-45b8-8e9f-c0a1178aa60a,e599ecd1-9162-4875-b6a6-1e2cfec2c024,CMR,SEN,official,,2021-01-01,,HS2017,scheme_3,Extracted from UNCTAD AfCFTA e-Tariff API on 2026-03-22T17:51:57.026982+00:00. Corridor: SEN → CMR.,2026-03-22T17:51:57.026982+00:00,2026-03-22T17:51:57.026982+00:00
ff7e1297-9988-477a-865b-0da10888db71,e599ecd1-9162-4875-b6a6-1e2cfec2c024,CIV,CMR,official,,2021-01-01,,HS2017,scheme_1,Extracted from UNCTAD AfCFTA e-Tariff API on 2026-03-22T17:52:00.166574+00:00. Corridor: CMR → CIV.,2026-03-22T17:52:00.166574+00:00,2026-03-22T17:52:00.166574+00:00
3dd87dcd-d623-415d-aac1-59be5b8e85a5,e599ecd1-9162-4875-b6a6-1e2cfec2c024,CIV,GHA,official,,2021-01-01,,HS2017,scheme_1,Extracted from UNCTAD AfCFTA e-Tariff API on 2026-03-22T17:52:03.325412+00:00. Corridor: GHA → CIV.,2026-03-22T17:52:03.325412+00:00,2026-03-22T17:52:03.325412+00:00
730a24d8-ce9f-4099-9946-cc67a49d4691,e599ecd1-9162-4875-b6a6-1e2cfec2c024,CIV,NGA,official,,2021-01-01,,HS2017,scheme_1,Extracted from UNCTAD AfCFTA e-Tariff API on 2026-03-22T17:52:06.482461+00:00. Corridor: NGA → CIV.,2026-03-22T17:52:06.482461+00:00,2026-03-22T17:52:06.482461+00:00
5b59e813-2240-46d0-bd42-48810b63c00a,e599ecd1-9162-4875-b6a6-1e2cfec2c024,CIV,SEN,official,,2021-01-01,,HS2017,scheme_1,Extracted from UNCTAD AfCFTA e-Tariff API on 2026-03-22T17:52:09.671203+00:00. Corridor: SEN → CIV.,2026-03-22T17:52:09.671203+00:00,2026-03-22T17:52:09.671203+00:00
4176b90a-4b53-4b51-aeb8-9f60df82c329,e599ecd1-9162-4875-b6a6-1e2cfec2c024,GHA,CMR,official,,2021-01-01,,HS2017,scheme_1,Extracted from UNCTAD AfCFTA e-Tariff API on 2026-03-22T17:52:12.938586+00:00. Corridor: CMR → GHA.,2026-03-22T17:52:12.938586+00:00,2026-03-22T17:52:12.938586+00:00
1812f081-87e7-44c4-aa3e-4184b45de87d,e599ecd1-9162-4875-b6a6-1e2cfec2c024,GHA,CIV,official,,2021-01-01,,HS2017,scheme_1,Extracted from UNCTAD AfCFTA e-Tariff API on 2026-03-22T17:52:16.140798+00:00. Corridor: CIV → GHA.,2026-03-22T17:52:16.140798+00:00,2026-03-22T17:52:16.140798+00:00
d388fa8a-63ce-4a5a-8d9b-2382ba1efa03,e599ecd1-9162-4875-b6a6-1e2cfec2c024,GHA,NGA,official,,2021-01-01,,HS2017,scheme_1,Extracted from UNCTAD AfCFTA e-Tariff API on 2026-03-22T17:52:19.371371+00:00. Corridor: NGA → GHA.,2026-03-22T17:52:19.371371+00:00,2026-03-22T17:52:19.371371+00:00
a95073aa-09b1-4070-9dd5-0a874a174a65,e599ecd1-9162-4875-b6a6-1e2cfec2c024,GHA,SEN,official,,2021-01-01,,HS2017,scheme_1,Extracted from UNCTAD AfCFTA e-Tariff API on 2026-03-22T17:52:22.521578+00:00. Corridor: SEN → GHA.,2026-03-22T17:52:22.521578+00:00,2026-03-22T17:52:22.521578+00:00
fb0b608a-840e-4689-bd24-013e95b1221d,e599ecd1-9162-4875-b6a6-1e2cfec2c024,NGA,CMR,official,,2021-01-01,,HS2017,scheme_1,Extracted from UNCTAD AfCFTA e-Tariff API on 2026-03-22T17:52:25.668553+00:00. Corridor: CMR → NGA.,2026-03-22T17:52:25.668553+00:00,2026-03-22T17:52:25.668553+00:00
380a5b07-3b77-42ff-b43e-dfa0fac566f2,e599ecd1-9162-4875-b6a6-1e2cfec2c024,NGA,CIV,official,,2021-01-01,,HS2017,scheme_1,Extracted from UNCTAD AfCFTA e-Tariff API on 2026-03-22T17:52:28.769373+00:00. Corridor: CIV → NGA.,2026-03-22T17:52:28.769373+00:00,2026-03-22T17:52:28.769373+00:00
dcc8dcd3-5dc7-4072-8c35-bd1f944c877f,e599ecd1-9162-4875-b6a6-1e2cfec2c024,NGA,GHA,official,,2021-01-01,,HS2017,scheme_1,Extracted from UNCTAD AfCFTA e-Tariff API on 2026-03-22T17:52:31.956146+00:00. Corridor: GHA → NGA.,2026-03-22T17:52:31.956146+00:00,2026-03-22T17:52:31.956146+00:00
d5bb2878-1258-4ef7-a8d2-1e3c482028fb,e599ecd1-9162-4875-b6a6-1e2cfec2c024,NGA,SEN,official,,2021-01-01,,HS2017,scheme_1,Extracted from UNCTAD AfCFTA e-Tariff API on 2026-03-22T17:52:35.064476+00:00. Corridor: SEN → NGA.,2026-03-22T17:52:35.064476+00:00,2026-03-22T17:52:35.064476+00:00
30d85025-a461-4426-b783-753a31f3e279,e599ecd1-9162-4875-b6a6-1e2cfec2c024,SEN,CMR,official,,2021-01-01,,HS2017,scheme_1,Extracted from UNCTAD AfCFTA e-Tariff API on 2026-03-22T17:52:38.161536+00:00. Corridor: CMR → SEN.,2026-03-22T17:52:38.161536+00:00,2026-03-22T17:52:38.161536+00:00
