country_name,population,gdp,currency_label,currency_code,au_language,capital,ratified,date_of_ratification,deposited,date_of_deposit
Algeria,"44,700,000","$163,512 billion",Algerian dinar (DZD),DZD,Arabic,Algiers,Yes,"December 15, 2019",Yes,"June 3, 2021"
Angola,"31,127,674",$64.480 billion,Kwanza (AOA),AOA,Portuguese,Luanda,Yes,"October 6, 2020",Yes,"November 4, 2020"
Arab Republic of Egypt,"101,478,581",$362 billion,Egyptian pound (E£) (EGP),EGP,Arabic,Cairo,Yes,"February 27, 2019",Yes,"April 8, 2019"
Benin,"11,733,059",$11.386 billion,West African CFA franc (XOF),XOF,French,Porto-Novo,Pending,,,
Botswana,"2,254,068",$18.726 billion,Pula (BWP),BWP,English,Gaborone,Pending,,,
Burkina Faso,"21,510,181",$16.226 billion,West African CFA franc (XOF),XOF,French,Ouagadougou,Yes,"May 27, 2019",Yes,"May 29, 2019"
Burundi,"11,865,821",$3.573 billion,Burundian franc (FBu) (BIF),BIF,French,Gitega,Pending,,,
Cameroon,"26,545,864",$44.893 billion,Central African CFA franc (XAF),XAF,French,Yaoundé,Yes,"January 31, 2020",Yes,"December 1, 2020"
Cape Verde,"483,628",$2.042 billion,Cape Verdean escudo (CVE),CVE,Portuguese,Praia,Yes,,,
Central African Republic,"4,666,368",$2.321 billion,Central African CFA franc (XAF),XAF,French,Bangui,Yes,"April 9, 2020",Yes,"September 22, 2020"
Chad,"16,244,513",$11 billion,Central African CFA franc (XAF),XAF,Arabic,N'Djamena,Yes,"June 29, 2018",Yes,"July 2, 2018"
Comoros,"850,886",$1.179 billion,Comorian franc (KMF),KMF,French,Moroni,Yes,,,
Congo,"5,244,359",$11.162 billion,Central African CFA franc (XAF),XAF,French,Brazzaville,Yes,"February 7, 2019",Yes,"February 10, 2019"
Côte d'Ivoire,"26,378,274",$61.502 billion,West African CFA franc (XOF),XOF,French,Yamoussoukro,Yes,"November 13, 2018",Yes,"November 23, 2018"
Democratic Republic of Congo,"92,377,393",$46.117 billion,Congolese franc (CDF),CDF,French,Kinshasa,Yes,,,
Djibouti,"921,804",$2.187 billion,Djiboutian franc (DJF),DJF,French,Djibouti,Yes,"February 5, 2019",Yes,"February 11, 2019"
Equatorial Guinea,"1,454,789",$12.432 billion,Central African CFA franc (XAF),XAF,Spanish,Malabo,Yes,"June 28, 2019",Yes,"July 2, 2019"
Eritrea,-,$11.01 billion,Nakfa (ERN),ERN,Arabic,Asmara,Pending,,,
Eswatini,"1,160,164",$4.211 billion,Lilangeni (SZL) & South African rand (ZAR),ZAR,Swahili,Mbabane,Yes,"June 21, 2018",Yes,"July 2, 2018"
Ethiopia,"117,876,227",$91.514 billion,Birr (ETB),ETB,Amharic,Addis Ababa,Yes,"March 23, 2019",Yes,"April 10, 2019"
Gabon,"2,119,275",$17.212 billion,Central African CFA franc (XAF),XAF,French,Libreville,Yes,"July 2, 2019",Yes,"July 7, 2019"
Ghana,"31,072,940",$73.594  billion,Cedi (GHS),GHS,English,Accra,Yes,"May 7, 2018",Yes,"May 10, 2018"
Guinea,"12,414,293",$1.480 billion,Guinean franc (GNF),GNF,French,Conakry,Yes,"July 31, 2018",Yes,"October 16, 2018"
Guinea-Bissau,"1,726,000",$1.480 billion,West African CFA franc (XOF),XOF,French,Bissau,Pending,,,
Kenya,"54,985,698",$109.116 billion,Kenyan shilling (KES),KES,English,Nairobi,Yes,"May 6, 2018",Yes,"May 10, 2018"
